accuracy,avg_recall@k,avg_precision@k,avg_f1,model,top_k,threshold
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,None
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.6
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.65
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.7
0.5,0.31666666666666665,0.5,0.29999999999999993,e5,1,0.75
0.3,0.2333333333333333,0.3,0.1833333333333333,e5,1,0.8
0.0,0.1,0.0,0.0,e5,1,0.85
0.0,0.1,0.0,0.0,e5,1,0.85
0.6,0.5833333333333333,0.55,0.51,e5,2,None
0.6,0.5833333333333333,0.55,0.51,e5,2,0.6
0.6,0.5833333333333333,0.55,0.51,e5,2,0.65
0.6,0.5833333333333333,0.6,0.5266666666666666,e5,2,0.7
0.5,0.5333333333333333,0.5,0.45999999999999996,e5,2,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,2,0.8
0.0,0.1,0.0,0.0,e5,2,0.85
0.0,0.1,0.0,0.0,e5,2,0.85
0.8,0.7499999999999999,0.5,0.5599999999999999,e5,3,None
0.8,0.7499999999999999,0.5,0.5599999999999999,e5,3,0.6
0.8,0.7499999999999999,0.5,0.5599999999999999,e5,3,0.65
0.8,0.7499999999999999,0.5666666666666667,0.5866666666666667,e5,3,0.7
0.7,0.7,0.4666666666666667,0.5199999999999999,e5,3,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,3,0.8
0.0,0.1,0.0,0.0,e5,3,0.85
0.0,0.1,0.0,0.0,e5,3,0.85
0.8,0.7833333333333333,0.4,0.5000000000000001,e5,4,None
0.8,0.7833333333333333,0.4,0.5000000000000001,e5,4,0.6
0.8,0.7833333333333333,0.4,0.5000000000000001,e5,4,0.65
0.8,0.7833333333333333,0.475,0.5333333333333334,e5,4,0.7
0.7,0.7333333333333333,0.39166666666666666,0.4800000000000001,e5,4,0.75
