accuracy,avg_recall@k,avg_precision@k,avg_f1,model,top_k,threshold
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,None
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.6
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.65
0.6,0.36666666666666664,0.6,0.3666666666666666,e5,1,0.7
0.5,0.31666666666666665,0.5,0.29999999999999993,e5,1,0.75
0.3,0.2333333333333333,0.3,0.1833333333333333,e5,1,0.8
0.0,0.1,0.0,0.0,e5,1,0.85
0.0,0.1,0.0,0.0,e5,1,0.85
0.6,0.5,0.45,0.42000000000000004,e5,2,None
0.6,0.5,0.45,0.42000000000000004,e5,2,0.6
0.6,0.5,0.45,0.42000000000000004,e5,2,0.65
0.6,0.5,0.5,0.4366666666666667,e5,2,0.7
0.5,0.45,0.4,0.37,e5,2,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,2,0.8
0.0,0.1,0.0,0.0,e5,2,0.85
0.0,0.1,0.0,0.0,e5,2,0.85
0.8,0.6166666666666666,0.4,0.44666666666666666,e5,3,None
0.8,0.6166666666666666,0.4,0.44666666666666666,e5,3,0.6
0.8,0.6166666666666666,0.4,0.44666666666666666,e5,3,0.65
0.8,0.6166666666666666,0.4666666666666667,0.47333333333333333,e5,3,0.7
0.7,0.5666666666666667,0.36666666666666664,0.40666666666666673,e5,3,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,3,0.8
0.0,0.1,0.0,0.0,e5,3,0.85
0.0,0.1,0.0,0.0,e5,3,0.85
0.8,0.65,0.325,0.40476190476190477,e5,4,None
0.8,0.65,0.325,0.40476190476190477,e5,4,0.6
0.8,0.65,0.325,0.40476190476190477,e5,4,0.65
0.8,0.65,0.4,0.43809523809523804,e5,4,0.7
0.7,0.6,0.3083333333333333,0.3780952380952381,e5,4,0.75
0.3,0.36666666666666664,0.3,0.27999999999999997,e5,4,0.8
0.0,0.1,0.0,0.0,e5,4,0.85
